name,國,volume,所見名,註,occurrence,nameFreq
蔡靈侯,蔡,昭公十一年經，昭公十一年傳，昭公十三年經，昭公十三年傳,蔡侯般，蔡靈侯，靈侯，蔡侯，蔡靈公，蔡公,,6,6
衛出公,衛,哀公二年傳，哀公十五年傳，哀公十六年經，哀公十六年傳，哀公十八年傳，哀公二十五年傳，哀公二十六年傳,輒，衛侯輒，亡君，衛侯，公，衛出公,蒯聵子,10,6
衛襄公,衛,襄公三十一年傳，昭公二年傳，昭公四年傳，昭公七年經，昭公七年傳，哀公二年傳，哀公十七年傳,衛襄公，衛侯，公，衛侯惡，襄公，叔父,衛獻公子,11,6
諸樊,吳,襄公十四年傳，襄公二十五年經，襄公二十五年傳，襄公三十一年傳，昭公二十三年傳,吳子諸樊，吳子遏，吳王，吳子，諸樊，大子諸樊,,7,6
趙盾,晉,僖公二十三年傳，僖公二十四年傳，文公六年傳，文公七年傳，文公八年經，文公九年傳，文公十二年傳，文公十三年傳，文公十四年經，文公十四年傳，文公十七年傳，宣公元年經，宣公元年傳，宣公二年傳，宣公六年經，成公八年傳,趙盾，盾，宣子，趙孟，趙宣子，宣孟,趙衰子,22,6
郟敖,楚,襄公二十九年傳，襄公三十年經，昭公元年經，昭公元年傳，昭公四年傳,郟敖，楚子，楚子麇，寡君，王，麇,楚康王子熊麇,7,6
郤至,晉,成公二年傳，成公十一年傳，成公十二年傳，成公十三年傳，成公十六年傳，成公十七年經，成公十七年傳，襄公二十六年傳,郤至，賓，至，溫季，季子，二郤,郤克族子,12,6
鄭厲公,鄭,隱公九年傳，桓公十一年經，桓公十一年傳，桓公十二年經，桓公十三年經，桓公十四年經，桓公十五年經，桓公十五年傳，莊公三年傳，莊公十四年經，莊公十四年傳，莊公十五年經，莊公十六年經，莊公十八年傳，莊公二十年傳，莊公二十一年經，僖公七年傳，僖公二十四年傳,公子突，突，厲公，鄭伯，鄭伯突，鄭厲公,,20,6
鄭文公,鄭,僖公二十一年經，僖公二十二年傳，僖公二十三年傳，僖公二十四年傳，僖公二十七年經，僖公二十八年經，僖公三十年傳，僖公三十一年傳，僖公三十二年經，文公十七年傳，宣公三年傳，襄公二十五年傳，定公四年傳,鄭伯，鄭文公，鄭伯捷，文公，我文公，捷,,14,6
鄭昭公,鄭,隱公三年傳，隱公七年傳，隱公八年傳，桓公六年傳，桓公十年傳，桓公十一年經，桓公十一年傳，桓公十五年經，桓公十五年傳，桓公十七年傳，昭公十一年傳,鄭公子忽，鄭大子忽，鄭忽，鄭昭公，鄭世子忽，昭公,,12,6
